model,metric,group,n,mean,std,ci95_low,ci95_high
resnet50,macro_f1,B,5,0.7865297879940544,0.007437806515991032,0.7772945314175429,0.7957650445705658
resnet50,macro_f1,C,5,0.7866125475761016,0.011420871049702536,0.7724316631655582,0.8007934319866449
resnet50,macro_f1,D,5,0.8052977452064951,0.013542519385907949,0.7884824864400366,0.8221130039729536
resnet50,macro_f1,E,5,0.7908276786784741,0.023648073621959947,0.7614647170352143,0.8201906403217339
resnet50,macro_f1,F,5,0.7929715943239579,0.017279068257906663,0.7715167973456097,0.8144263913023061
resnet50,macro_f1,G,5,0.7907844374586298,0.012160381906531334,0.7756853290408814,0.8058835458763782
resnet50,macro_f1,H,5,0.8022595909065728,0.02104584352635462,0.7761277246880685,0.8283914571250772
resnet50,macro_f1,I,5,0.7995297801680712,0.016706283253567718,0.7787861897083217,0.8202733706278207
resnet50,macro_f1,baseline,5,0.791926019453443,0.016156914623614908,0.7718645602432483,0.8119874786636376
resnet50,macro_precision,A,5,0.8451707436166591,0.0251935449960169,0.8138888258079783,0.87645266142534
resnet50,macro_precision,B,5,0.8271599177861055,0.017670746721558148,0.8052187877605695,0.8491010478116415
resnet50,macro_precision,C,5,0.8291730103385244,0.019116950222455003,0.8054361814918486,0.8529098391852002
resnet50,macro_precision,D,5,0.8314453682381886,0.028261208030431726,0.7963544436810543,0.8665362927953228
resnet50,macro_precision,E,5,0.8218897933378463,0.017947256595755398,0.7996053309563718,0.8441742557193208
resnet50,macro_precision,F,5,0.8352505095663456,0.01789541774015097,0.8130304136255831,0.8574706055071081
resnet50,macro_precision,G,5,0.8236401755257067,0.016420989376940816,0.8032508242014728,0.8440295268499406
resnet50,macro_precision,H,5,0.8349470980585293,0.019764672901640887,0.8104060152802882,0.8594881808367704
resnet50,macro_precision,I,5,0.8230842832235361,0.016208935419859447,0.8029582316634868,0.8432103347835854
resnet50,macro_precision,baseline,5,0.8208782993629024,0.01800541822491864,0.7985216197804189,0.8432349789453858
resnet50,macro_recall,A,5,0.7670309389920528,0.012964629385394902,0.7509332254341533,0.7831286525499522
resnet50,macro_recall,B,5,0.7649340829736145,0.009421482257525208,0.75323576764473,0.7766323983024991
resnet50,macro_recall,C,5,0.7579296614603941,0.009355080307328435,0.7463137950424793,0.7695455278783089
resnet50,macro_recall,D,5,0.7896289569239255,0.011956856139987045,0.7747825591232019,0.8044753547246491
resnet50,macro_recall,E,5,0.7682821530731703,0.0289802151000266,0.7322984633232661,0.8042658428230745
resnet50,macro_recall,F,5,0.7624136053455061,0.022762917177233152,0.7341497105924415,0.7906775000985706
resnet50,macro_recall,G,5,0.7656410583072426,0.008528337980714855,0.7550517280720752,0.77623038854241
resnet50,macro_recall,H,5,0.7804252439521048,0.02322043285698972,0.7515932684508728,0.8092572194533367
resnet50,macro_recall,I,5,0.7814038326916467,0.017936440175664155,0.7591328006695889,0.8036748647137045
resnet50,macro_recall,baseline,5,0.7721633337352075,0.016825504095394458,0.7512717110483262,0.7930549564220888
